,events,hit_distance_sc,launch_angle,launch_speed,estimated_ba_using_speedangle
1197,field_out,1,-66,46.2,0.214
1397,field_out,4,-22,87.6,0.114
1363,single,93,5,102.8,0.557
1586,single,123,7,97.5,0.626
1661,field_out,4,-33,103.2,0.1
1695,field_out,107,68,80.6,0.009
1431,field_out,247,42,78.7,0.034
1506,double,130,20,59.4,0.394
1669,grounded_into_double_play,6,-24,85.4,0.071
1879,home_run,399,23,103.4,0.706
1908,grounded_into_double_play,21,-5,73.2,0.089
2038,force_out,8,-11,98.9,0.246
2235,field_out,4,-35,90.8,0.1
2645,field_out,310,34,90.6,0.04
3924,single,47,2,69.6,0.126
4531,field_out,10,-15,80.0,0.071
3703,single,68,2,88.7,0.277
3953,field_out,278,37,78.0,0.054
3323,single,50,0,92.1,0.323
4120,force_out,3,-43,82.7,0.089
3362,force_out,13,-9,97.1,0.231
4526,fielders_choice_out,1,-70,46.4,0.191
3331,field_out,268,38,82.5,0.011
4716,field_out,35,71,34.7,0.02
3662,field_out,7,-20,83.1,0.06
3751,field_out,2,-45,93.6,0.091
4300,field_out,206,56,88.3,0.009
3964,field_out,11,-12,76.0,0.069
3686,field_out,15,-8,109.8,0.386
3788,field_out,220,53,83.0,0.02
2392,field_out,158,46,60.3,0.194
2934,field_out,262,43,78.1,0.06
4121,field_out,364,31,98.5,0.306
2581,field_out,176,60,82.6,0.026
4567,field_out,292,29,80.4,0.146
0,double,47,0,100.4,0.429
8,home_run,401,25,102.7,0.729
29,field_out,68,3,90.8,0.391
45,field_out,8,-14,78.0,0.069
87,field_out,340,33,97.1,0.197
120,force_out,4,-32,72.7,0.054
145,single,179,51,66.4,0.126
189,field_out,200,59,91.8,0.006
359,single,220,13,89.4,0.903
432,field_out,3,-22,94.4,0.1
221,grounded_into_double_play,12,-11,96.3,0.2
443,field_out,249,50,87.2,0.014
845,double,333,31,90.9,0.057
1146,field_out,350,32,99.6,0.443
1098,field_out,282,35,80.3,0.037
1615,field_error,348,20,101.3,0.42
1815,single,232,18,85.5,0.849
1322,field_out,295,30,81.9,0.086
1544,home_run,279,17,97.8,0.509
1878,field_out,4,-25,61.6,0.034
1983,field_out,16,-7,83.9,0.123
2512,field_out,301,27,89.8,0.1
2678,single,218,15,92.1,0.914
3219,field_out,10,-12,93.7,0.163
4008,field_out,32,-2,84.3,0.189
3403,field_out,292,35,81.4,0.029
2577,field_out,340,37,90.4,0.026
2675,home_run,368,36,100.0,0.291
3156,field_out,7,-17,96.1,0.154
2771,field_out,3,-34,79.2,0.063
4248,grounded_into_double_play,40,-2,111.4,0.48
2129,field_out,197,55,77.5,0.077
2070,field_out,213,46,74.4,0.16
2876,field_out,114,69,81.7,0.009
3753,field_out,341,40,94.6,0.034
3574,field_out,312,21,95.4,0.226
3960,field_out,269,29,75.3,0.503
4178,field_out,14,-9,75.3,0.069
4425,field_out,333,18,100.2,0.411
3774,field_out,251,53,87.8,0.014
4509,field_out,2,-56,60.3,0.237
2851,field_out,4,-28,82.4,0.049
3119,field_out,79,5,81.2,0.297
3950,double,93,4,90.2,0.411
4666,home_run,372,41,101.1,0.14
755,single,131,4,108.7,0.606
879,field_out,227,55,88.7,0.017
2376,field_out,46,1,89.1,0.277
2425,double,115,4,110.1,0.634
2773,field_out,162,62,91.0,0.003
1045,field_out,290,40,86.1,0.017
1075,field_out,346,36,96.8,0.146
1144,field_out,370,21,100.3,0.377
3348,field_out,260,52,100.4,0.011
3681,field_out,106,70,80.8,0.006
4410,field_out,161,61,78.0,0.026
1201,field_out,291,23,91.2,0.171
1238,single,68,1,103.4,0.474
1389,home_run,402,28,100.7,0.649
1624,field_out,332,14,109.4,0.729
2136,field_out,299,43,98.4,0.034
1782,double,379,26,99.8,0.534
1794,field_out,345,33,92.9,0.066
4465,single,21,-5,93.4,0.217
1705,double,384,24,101.8,0.683
1778,single,219,17,80.8,0.937
1957,field_out,210,60,93.4,0.003
2508,field_out,75,3,103.9,0.517
2952,field_out,312,40,91.1,0.017
3399,home_run,323,33,85.4,0.023
3727,home_run,360,37,98.9,0.217
4141,field_out,308,30,91.4,0.08
4221,field_out,151,65,98.2,0.02
4527,field_out,319,17,98.0,0.509
3508,field_out,226,56,94.7,0.009
3933,field_out,148,67,81.0,0.0
4195,field_out,261,32,79.3,0.103
3980,field_out,90,4,94.9,0.411
2155,home_run,425,32,104.6,0.766
2223,single,190,12,92.6,0.871
2324,field_out,46,2,77.5,0.163
2416,home_run,410,28,101.3,0.649
2734,single,304,18,89.5,0.674
3252,field_out,376,20,101.3,0.42
2789,field_out,382,30,100.9,0.566
3461,field_out,12,-5,97.8,0.274
4135,field_out,110,4,100.2,0.557
31,single,247,37,70.8,0.503
88,field_out,10,-16,93.5,0.174
3161,field_out,311,51,101.0,0.014
3344,field_out,330,28,90.0,0.094
250,field_out,368,36,100.3,0.291
402,single,60,4,64.4,0.18
417,double,317,18,100.2,0.411
456,field_out,323,33,87.2,0.029
66,field_out,236,54,87.5,0.011
106,field_out,277,20,84.2,0.683
162,single,24,-5,96.0,0.277
234,single,222,11,107.6,0.903
566,field_out,281,33,81.1,0.034
692,home_run,367,36,100.1,0.291
798,home_run,398,20,107.8,0.817
832,field_out,377,17,103.6,0.509
969,field_out,111,6,101.9,0.646
360,field_out,100,5,102.0,0.603
532,field_out,138,65,79.8,0.006
571,single,19,-5,98.5,0.289
1008,field_out,119,6,104.3,0.6
1348,field_out,9,-12,50.5,0.114
1014,field_out,250,31,76.8,0.229
1080,field_out,294,35,84.9,0.017
1158,single,134,13,89.7,0.92
1410,grounded_into_double_play,23,-4,91.7,0.197
1451,single,239,17,92.3,0.703
1185,force_out,117,7,101.7,0.689
1614,field_out,94,5,100.7,0.64
2065,field_out,315,22,91.5,0.237
3148,field_out,10,-16,77.7,0.057
2063,single,236,15,88.9,0.96
2180,field_out,161,11,88.3,0.657
3472,grounded_into_double_play,7,-15,83.6,0.111
3835,field_out,354,27,99.2,0.483
4359,single,64,2,97.3,0.454
2561,field_out,8,-9,97.9,0.251
2829,grounded_into_double_play,4,-33,64.2,0.06
4200,single,9,-14,32.6,0.251
3961,field_out,366,40,97.0,0.063
4070,field_out,80,7,76.2,0.306
1919,field_out,47,0,89.5,0.249
3437,single,217,22,71.6,0.94
1920,grounded_into_double_play,30,-3,110.8,0.477
2676,field_out,2,-36,86.8,0.066
3052,field_out,20,-4,97.0,0.3
3426,single,201,10,113.2,0.829
4235,field_out,362,38,100.6,0.297
4493,single,1,-58,79.1,0.254
2793,field_out,14,-11,102.0,0.257
3123,single,6,-21,89.7,0.117
3572,field_out,4,-34,91.7,0.1
2739,field_out,98,3,102.9,0.546
3085,field_out,315,28,88.1,0.083
3748,field_out,103,8,84.6,0.449
2595,field_out,174,31,58.2,0.477
2836,home_run,419,19,111.7,0.846
3487,field_out,230,50,81.9,0.023
4139,single,273,12,107.6,0.891
4548,field_out,2,-45,59.1,0.174
2870,field_out,6,-29,76.5,0.054
4134,home_run,359,29,96.7,0.309
4589,double,182,11,102.0,0.903
3230,field_out,290,36,82.1,0.026
3387,single,241,19,85.0,0.729
3417,field_out,12,-7,64.0,0.091
365,field_out,241,51,86.0,0.011
481,double,379,30,97.0,0.271
579,field_out,16,-7,96.7,0.251
208,field_out,4,-20,97.7,0.12
275,field_out,39,89,62.1,0.006
385,field_out,109,64,57.6,0.003
741,field_out,2,-38,66.0,0.106
810,double,343,21,106.0,0.774
1155,single,235,12,107.4,0.903
1207,field_out,341,27,93.8,0.163
467,field_out,309,27,88.1,0.1
868,field_out,22,0,43.8,0.166
921,single,34,-1,102.6,0.409
1244,field_out,288,16,103.7,0.54
1325,field_out,3,-40,72.5,0.111
1139,field_out,7,-12,76.5,0.089
1194,home_run,353,36,96.9,0.146
1388,double,234,23,73.5,0.906
1657,single,265,33,75.7,0.229
1807,single,236,18,93.5,0.503
1926,field_out,7,-17,79.7,0.069
1972,field_out,250,56,97.2,0.014
2757,field_out,73,5,75.4,0.223
3424,double,240,13,106.9,0.806
4268,field_out,70,80,65.7,0.006
2347,double,182,8,105.5,0.689
2498,force_out,7,-22,98.8,0.129
3328,field_out,167,67,97.7,0.026
3847,single,175,16,69.9,0.58
4185,single,270,12,102.4,0.934
1830,single,236,19,86.7,0.674
2520,field_out,139,68,75.6,0.006
1902,field_out,344,32,91.6,0.083
2222,field_out,282,17,88.9,0.814
2671,field_out,271,22,86.1,0.354
3826,sac_fly,262,44,79.1,0.04
4480,sac_bunt,23,2,28.8,0.231
2973,field_out,5,-24,93.2,0.086
3189,field_out,3,-32,88.7,0.086
3425,sac_bunt,31,35,21.6,0.174
3534,single,28,-6,88.8,0.154
2445,grounded_into_double_play,38,0,99.0,0.414
2689,single,152,12,82.7,0.623
2892,single,167,12,84.1,0.637
4368,field_out,255,43,77.4,0.089
4703,double,271,12,100.2,0.917
2151,field_out,288,20,86.4,0.551
2471,single,239,27,76.0,0.537
2583,single,61,1,99.1,0.406
2895,double,243,14,100.0,0.789
3665,grounded_into_double_play,53,0,94.6,0.369
1746,field_out,198,50,70.1,0.143
1917,single,12,-8,104.2,0.346
2447,field_out,11,-8,107.3,0.349
3556,single,13,-7,95.1,0.226
3942,field_out,111,69,77.3,0.006
4006,single,10,-16,87.2,0.1
4238,field_out,4,-40,85.8,0.069
2361,single,3,-34,92.1,0.1
2578,single,188,32,60.8,0.617
2890,sac_bunt,2,-55,42.1,0.226
3291,single,1,-68,65.8,0.229
3809,field_out,86,5,77.5,0.271
4109,field_out,22,-4,54.8,0.109
3038,field_out,315,47,101.4,0.034
3242,home_run,395,20,108.8,0.86
4382,field_out,346,38,86.5,0.011
70,single,268,20,79.5,0.914
93,field_out,305,33,83.5,0.026
161,field_out,342,40,93.8,0.031
246,single,52,1,88.2,0.277
130,field_out,21,-4,105.5,0.389
177,double,103,5,100.2,0.623
450,single,137,7,94.1,0.5
471,field_out,81,4,103.1,0.549
1102,field_out,2,-40,82.6,0.069
703,field_out,2,-46,67.4,0.197
1148,field_out,393,27,99.1,0.483
1344,force_out,4,-23,73.7,0.026
1407,fielders_choice_out,14,-6,86.6,0.117
1660,single,189,9,91.1,0.586
1704,single,215,36,63.7,0.637
1332,field_out,5,-22,96.5,0.12
1488,field_out,174,56,82.5,0.037
1948,field_out,21,-4,85.3,0.154
2177,field_out,370,24,103.1,0.734
2474,double,138,9,77.9,0.337
2504,double,371,23,102.3,0.651
3030,field_out,241,30,72.3,0.697
1993,field_out,184,63,82.0,0.011
4538,field_out,93,5,86.1,0.426
3103,field_out,100,7,85.1,0.434
3327,single,95,6,97.4,0.571
1777,home_run,341,36,93.0,0.06
1789,field_out,323,40,92.1,0.014
2061,field_out,14,-9,100.5,0.254
3035,force_out,5,-18,100.0,0.151
3377,field_error,0,-86,,
4319,field_out,8,-19,69.2,0.046
2247,field_out,265,20,82.0,0.817
2444,field_out,1,-69,61.8,0.24
2711,double,198,10,106.4,0.82
3977,field_out,337,20,96.0,0.269
132,field_out,102,76,81.0,0.011
155,single,232,13,95.0,0.931
73,field_out,187,61,79.4,0.029
143,field_out,130,9,91.1,0.586
194,field_out,269,36,78.2,0.057
269,field_out,374,34,102.5,0.48
339,field_out,245,54,96.1,0.006
260,field_out,278,27,82.3,0.18
376,field_out,356,27,95.9,0.263
490,field_out,8,-16,102.3,0.217
446,field_out,3,-35,89.1,0.086
637,single,262,13,98.1,0.891
846,field_out,161,51,59.8,0.086
680,field_out,304,43,91.6,0.0
707,single,137,7,109.1,0.711
992,field_out,4,-27,92.7,0.077
1016,field_out,66,1,99.9,0.443
1087,field_out,352,42,98.6,0.08
1110,force_out,22,-6,85.5,0.117
1255,field_out,299,45,98.7,0.02
1198,field_out,140,9,95.3,0.597
1499,field_out,171,10,96.5,0.703
1765,field_out,285,36,81.6,0.026
2004,field_out,136,13,72.9,0.377
2443,field_out,4,-33,68.5,0.057
1639,field_out,46,0,108.9,0.503
1694,field_out,154,56,60.5,0.029
1822,fielders_choice,38,0,84.9,0.246
3095,double,323,22,92.4,0.194
3521,force_out,11,-10,109.9,0.329
3718,single,271,25,81.7,0.283
4698,field_out,69,2,100.1,0.443
3515,field_out,375,27,98.8,0.483
3688,double,288,16,112.0,0.74
3785,field_out,1,-55,67.8,0.249
3974,field_out,1,-64,88.1,0.249
4709,double,379,26,96.8,0.331
2460,double,326,17,103.0,0.48
2742,field_out,6,-20,89.7,0.103
1883,single,59,1,97.5,0.406
2093,field_out,359,15,108.3,0.711
3065,field_out,3,-28,101.3,0.126
3632,field_out,289,40,86.0,0.017
4347,field_out,96,4,90.9,0.377
2599,force_out,98,14,54.8,0.217
2808,single,268,21,87.1,0.434
3495,field_out,318,46,103.6,0.094
3675,single,220,11,101.5,0.886
3839,single,120,15,65.1,0.414
4398,single,46,0,99.1,0.414
2255,field_out,354,33,93.7,0.08
2585,field_out,40,-1,111.6,0.497
2001,grounded_into_double_play,7,-17,84.3,0.097
2149,single,10,-15,87.7,0.111
2305,field_out,98,61,51.1,0.017
3088,home_run,396,24,108.7,0.974
3416,field_out,319,34,85.7,0.017
4010,field_out,303,28,87.6,0.083
4549,field_out,371,40,99.9,0.131
4362,field_out,24,84,69.1,0.006
3078,field_out,15,-9,96.6,0.231
4313,field_out,175,64,90.9,0.009
3317,field_out,143,63,69.4,0.006
3609,field_out,164,64,80.3,0.009
4305,field_out,355,41,95.5,0.023
3268,field_out,2,-46,60.8,0.183
3388,field_out,7,-14,90.6,0.14
3896,field_out,33,-3,99.6,0.34
505,field_out,242,47,76.3,0.111
666,field_out,266,53,90.8,0.017
763,home_run,428,26,107.9,0.966
563,field_out,313,47,91.7,0.003
804,field_out,311,40,89.2,0.011
996,grounded_into_double_play,7,-20,98.2,0.12
1248,field_out,239,50,77.7,0.069
1417,single,207,14,91.5,0.94
1462,field_out,250,44,75.2,0.143
1616,field_out,294,31,85.1,0.049
1911,single,187,12,101.6,0.934
1503,field_out,253,36,72.8,0.371
1915,field_out,311,19,91.3,0.46
2289,field_out,20,-5,82.8,0.151
2000,grounded_into_double_play,36,0,59.9,0.126
2754,force_out,10,-13,92.7,0.149
3499,home_run,383,25,102.1,0.649
2385,field_out,169,12,96.5,0.889
2584,single,260,21,84.8,0.517
3287,field_out,2,-48,68.6,0.189
3473,double,149,10,94.5,0.7
4243,single,228,22,78.1,0.877
4663,field_out,341,32,91.5,0.054
2867,force_out,10,-10,91.5,0.186
2111,force_out,4,-18,97.4,0.134
2985,double,215,11,110.0,0.891
3946,field_out,336,21,101.5,0.454
4166,double,254,14,103.1,0.766
3070,field_out,96,73,78.5,0.009
4199,field_out,282,29,84.9,0.069
2094,field_out,2,-45,67.6,0.169
2197,field_out,94,6,82.1,0.334
2603,double,316,14,107.8,0.731
3184,field_out,106,69,75.7,0.006
4155,field_out,277,42,84.7,0.017
2936,field_out,177,11,93.7,0.783
4361,single,45,-1,109.3,0.477
2375,single,1,-57,54.7,0.217
2817,field_error,47,-2,91.3,0.243
3008,single,221,48,75.7,0.086
3163,field_out,299,40,88.2,0.009
3678,single,240,11,99.8,0.88
4035,field_out,5,-32,72.4,0.063
1864,field_out,291,41,88.7,0.006
1941,single,217,16,83.3,0.929
1973,field_out,167,18,66.0,0.537
2118,single,147,7,95.7,0.571
2569,single,277,13,111.7,0.8
2875,fielders_choice,3,-44,83.1,0.106
3289,single,121,5,103.9,0.571
3694,field_out,12,-10,87.9,0.166
2023,double,398,22,105.8,0.837
2476,field_out,230,54,88.5,0.014
3450,double,332,15,110.3,0.711
4206,field_out,351,20,102.0,0.483
521,single,189,9,105.3,0.771
674,force_out,44,0,87.5,0.24
789,single,208,30,63.7,0.797
848,field_out,6,-21,94.0,0.117
918,home_run,415,31,108.6,0.934
995,home_run,396,26,106.0,0.949
1314,single,210,9,111.6,0.837
4541,force_out,75,2,96.4,0.46
676,field_out,9,-11,93.6,0.157
729,double,180,15,80.8,0.803
821,home_run,436,28,110.2,0.989
1474,field_out,4,-32,67.3,0.046
1774,field_out,46,77,81.5,0.014
1820,field_out,273,17,91.8,0.703
920,field_out,200,51,74.1,0.123
1071,double,231,10,110.3,0.874
1126,field_out,301,40,85.1,0.02
1216,single,3,-40,31.3,0.277
1394,single,180,5,106.4,0.563
1881,field_out,310,17,99.4,0.466
1978,field_out,3,-48,42.8,0.217
2424,single,8,-10,99.7,0.269
1443,grounded_into_double_play,12,-14,97.8,0.206
1547,single,9,-17,78.0,0.051
2516,single,237,32,68.5,0.843
3012,field_out,171,63,96.4,0.017
3552,field_out,170,10,95.8,0.703
3253,field_out,290,40,85.1,0.02
3732,field_out,19,-6,85.0,0.117
2714,field_out,242,52,82.5,0.034
3166,home_run,362,23,105.2,0.803
3735,field_out,134,67,92.8,0.02
3900,single,174,17,74.0,0.774
1521,single,177,8,95.7,0.6
1867,single,67,2,100.2,0.443
2413,double,19,-7,89.4,0.134
3090,field_out,3,-25,106.6,0.143
3233,single,88,5,82.5,0.309
3519,single,24,-2,76.0,0.111
3659,field_out,150,8,102.4,0.689
3325,field_out,317,28,87.2,0.08
3989,field_out,3,-47,85.8,0.109
4414,field_out,10,-12,64.4,0.069
4124,field_out,2,-47,69.5,0.171
4656,fielders_choice,101,8,78.1,0.337
3627,field_out,262,45,80.2,0.034
4314,single,101,5,109.6,0.657
4513,field_out,286,32,80.9,0.046
3361,home_run,395,36,102.3,0.454
2522,field_out,3,-35,56.1,0.091
2837,field_out,377,29,100.0,0.506
4240,double,203,13,100.4,0.891
3094,single,9,-19,91.8,0.097
4061,single,171,23,64.0,0.7
2245,field_out,16,-9,88.3,0.149
3063,field_out,37,84,71.0,0.003
3651,field_out,5,-23,108.2,0.169
4117,field_out,14,-6,83.0,0.129
2629,field_out,304,18,96.6,0.403
2846,single,58,9,50.9,0.137
3086,field_out,79,3,95.8,0.474
3744,field_out,288,50,95.3,0.0
2439,field_out,332,36,95.3,0.114
2920,home_run,409,31,109.1,0.934
3537,field_out,39,-1,93.6,0.323
4276,field_out,317,14,110.1,0.763
4230,field_out,202,59,86.1,0.029
586,sac_fly,293,38,83.1,0.011
723,double,250,17,90.5,0.797
822,single,230,32,67.2,0.857
867,single,287,15,108.0,0.711
1078,field_out,348,29,93.5,0.146
1135,home_run,432,30,105.3,0.794
1162,single,24,-4,107.9,0.426
1234,single,203,43,67.3,0.371
1184,field_out,82,2,111.4,0.574
1292,field_out,5,-24,102.8,0.146
1628,field_out,24,-2,80.8,0.174
1727,field_out,304,51,98.5,0.006
2233,home_run,427,27,106.7,0.957
2331,single,275,24,79.2,0.611
3054,field_out,107,6,98.2,0.6
1452,field_out,7,-23,81.6,0.043
1692,home_run,373,26,104.0,0.829
1758,sac_fly,331,18,99.5,0.4
2256,single,275,14,100.0,0.789
2290,single,216,26,70.3,0.934
4170,grounded_into_double_play,47,2,70.6,0.123
4688,single,200,18,78.0,0.931
2344,field_out,106,73,87.8,0.006
2858,field_out,80,3,97.8,0.491
3729,field_out,269,39,80.7,0.02
4288,field_out,2,-42,88.5,0.069
1428,field_out,288,36,83.7,0.011
1634,field_out,33,-4,93.1,0.243
2835,field_out,94,70,88.4,0.006
3486,double,401,25,101.2,0.56
3923,field_out,16,-2,85.3,0.186
4180,field_out,297,19,97.9,0.34
1751,field_out,12,-10,89.7,0.163
1998,field_out,2,-49,88.2,0.114
2726,field_out,4,-41,25.3,0.286
2942,field_out,2,-59,77.3,0.24
3222,single,29,-4,107.1,0.411
3415,field_error,7,-19,89.3,0.106
3524,field_out,332,37,93.1,0.071
4503,home_run,394,31,99.6,0.483
3573,field_out,330,33,89.5,0.046
4683,field_out,219,59,91.6,0.006
2352,field_out,157,61,76.0,0.026
2944,field_out,332,37,89.9,0.026
3259,double,397,27,102.3,0.7
127,field_out,60,1,97.8,0.406
292,field_out,123,6,106.5,0.609
355,field_out,2,-34,96.1,0.111
304,field_out,2,-55,76.3,0.234
404,field_out,14,-9,98.7,0.274
469,single,344,20,103.4,0.509
534,field_out,112,10,70.4,0.249
672,field_out,251,54,94.8,0.006
709,home_run,461,27,109.1,0.983
507,field_out,317,32,90.8,0.054
679,single,98,3,111.8,0.623
990,single,45,0,86.3,0.266
1369,single,288,22,86.0,0.354
1563,field_out,165,6,107.3,0.603
864,field_out,269,24,83.8,0.289
929,field_out,48,1,87.3,0.32
1034,double,376,20,108.1,0.817
1862,home_run,399,31,98.8,0.4
2146,field_out,204,64,93.8,0.014
1321,field_out,375,31,96.0,0.209
1386,field_out,186,59,91.6,0.006
1621,field_out,16,-4,85.5,0.154
2453,field_out,244,55,91.9,0.006
3913,sac_fly,384,38,97.4,0.12
4088,triple,386,20,100.5,0.42
1739,field_out,395,29,98.1,0.354
2634,double,239,13,108.6,0.849
3262,field_out,90,5,93.3,0.437
1387,field_out,259,16,94.2,0.737
1723,single,261,13,97.2,0.926
2233,field_out,3,-26,98.7,0.103
1312,force_out,18,-7,95.3,0.226
1345,fielders_choice_out,9,-11,98.2,0.22
1503,single,42,3,59.9,0.143
1586,single,213,13,93.7,0.937
1777,single,35,-2,105.4,0.4
2036,field_out,303,18,106.9,0.62
2155,field_out,147,8,101.8,0.689
1835,field_out,331,28,92.0,0.123
2081,home_run,392,28,108.1,0.98
137,home_run,420,27,109.7,0.991
250,single,52,0,99.5,0.414
2164,field_out,4,-25,100.1,0.12
2500,field_out,8,-21,90.6,0.111
279,field_out,285,21,90.0,0.311
323,double,155,15,78.3,0.717
474,single,235,10,107.1,0.837
500,field_out,248,25,75.8,0.711
614,field_out,369,21,103.2,0.626
296,field_out,319,18,98.3,0.394
424,field_out,269,48,95.9,0.0
507,single,311,14,102.7,0.766
621,single,160,9,103.0,0.743
653,field_out,267,40,78.4,0.051
685,field_out,29,-2,86.9,0.203
746,force_out,5,-34,76.9,0.066
762,single,3,-23,55.3,0.091
761,field_out,208,48,71.3,0.2
861,field_out,350,19,104.4,0.526
879,single,205,10,101.2,0.783
835,field_out,5,-26,57.2,0.066
925,force_out,96,5,73.9,0.211
1021,single,50,0,98.0,0.397
905,field_out,273,20,89.9,0.417
954,single,2,-48,68.7,0.189
1124,home_run,388,37,100.1,0.269
1114,force_out,4,-30,86.3,0.046
1285,field_out,246,23,79.3,0.717
1244,field_out,12,-8,83.0,0.117
1295,field_out,9,-10,82.5,0.117
1335,field_out,297,20,91.9,0.303
1416,field_out,172,58,70.2,0.04
1495,field_out,314,31,90.2,0.054
1580,field_out,2,-42,73.1,0.114
1365,field_out,356,39,96.1,0.066
1543,field_out,272,47,87.2,0.006
1887,single,88,4,105.8,0.566
1666,field_out,323,41,93.3,0.006
1900,field_out,3,-20,83.6,0.069
2007,field_out,24,-3,83.4,0.171
2337,home_run,399,28,102.7,0.757
2447,single,233,30,74.7,0.451
1794,field_out,262,41,77.5,0.046
2066,field_out,308,24,93.3,0.174
2240,single,174,20,66.8,0.709
1796,field_out,14,-9,89.9,0.163
2057,field_out,1,-67,63.8,0.243
2392,field_out,391,20,104.4,0.557
2249,double,187,10,96.1,0.703
1893,force_out,4,-35,71.4,0.089
2110,single,215,13,90.3,0.92
1701,field_out,10,-10,100.2,0.269
2254,field_out,249,15,103.8,0.62
118,double,373,26,100.6,0.6
149,single,262,11,94.9,0.791
235,grounded_into_double_play,75,4,80.6,0.251
262,single,33,-4,95.3,0.294
1494,field_out,219,39,68.4,0.591
1917,field_out,189,42,63.9,0.386
349,field_out,10,-8,67.1,0.094
373,field_out,171,37,58.4,0.397
446,field_out,150,64,70.3,0.006
533,single,196,12,108.6,0.906
2187,field_out,9,-13,76.1,0.071
2561,single,230,20,78.2,0.963
104,double,275,18,104.1,0.494
124,single,124,5,104.6,0.563
182,field_out,301,28,89.7,0.094
605,field_out,21,-5,93.2,0.217
803,field_out,11,-13,87.7,0.129
232,field_out,3,-28,60.5,0.04
407,single,221,10,101.9,0.809
467,force_out,5,-25,86.1,0.066
506,sac_fly,336,17,101.3,0.423
565,single,150,7,117.9,0.751
612,field_error,258,38,79.3,0.046
860,field_out,3,-39,64.2,0.106
936,field_out,21,-5,76.0,0.109
1050,double,166,8,100.8,0.686
1078,field_out,387,26,101.0,0.6
644,field_out,9,-9,99.2,0.274
765,field_out,8,-14,83.1,0.131
808,field_out,337,22,98.4,0.26
845,double,354,17,108.8,0.711
966,double,361,21,103.9,0.634
1139,double_play,107,9,84.2,0.463
1190,field_out,251,53,100.3,0.011
1207,single,255,14,99.7,0.789
1026,field_out,309,32,85.7,0.026
1112,field_out,15,-7,95.1,0.226
1142,double,351,26,99.5,0.534
1292,field_out,44,0,83.2,0.197
1325,sac_fly,341,24,93.6,0.163
1443,single,3,-22,99.2,0.129
1709,field_out,247,43,88.5,0.009
1391,field_out,347,27,92.0,0.129
1679,field_out,102,72,69.1,0.006
1783,single,245,21,78.0,0.917
1912,field_out,3,-26,83.2,0.043
2458,field_out,151,57,66.1,0.031
1542,force_out,5,-18,96.5,0.131
2131,force_out,37,-1,96.0,0.346
1512,single,79,8,67.2,0.203
1850,single,20,-7,95.4,0.226
2281,field_out,202,8,102.9,0.683
1660,field_out,5,-25,101.9,0.143
2055,single,217,13,92.0,0.911
2220,field_out,131,67,91.2,0.014
2406,field_out,263,18,91.3,0.603
1767,grounded_into_double_play,2,-34,97.6,0.117
2038,fielders_choice,23,-3,70.1,0.091
2129,force_out,2,-50,69.7,0.191
2330,single,15,-11,97.3,0.203
2031,field_out,291,35,87.2,0.009
1816,field_out,337,32,97.5,0.297
1885,field_out,123,69,92.8,0.017
1963,single,92,4,104.0,0.543
2296,grounded_into_double_play,4,-28,97.5,0.106
90,single,11,-12,98.2,0.214
159,field_out,6,-25,84.8,0.066
181,sac_fly,332,22,98.9,0.317
231,field_out,360,18,104.0,0.494
276,single,209,13,92.1,0.911
360,single,211,17,81.9,0.94
205,grounded_into_double_play,23,-4,81.3,0.154
466,single,270,30,78.2,0.223
398,field_out,2,-48,64.6,0.211
505,sac_fly,259,39,75.4,0.186
544,double,78,3,102.2,0.56
639,field_out,2,-45,60.8,0.183
882,field_out,16,-7,52.1,0.111
810,field_out,124,7,83.7,0.429
887,field_out,290,17,97.2,0.52
1087,single,1,-69,52.1,0.223
1065,field_out,1,-59,59.6,0.254
1194,field_out,2,-34,77.2,0.066
1418,force_out,36,-2,95.8,0.309
1517,single,216,25,70.6,0.931
1583,single,16,-7,99.5,0.271
1378,field_out,317,21,96.9,0.254
2132,single,2,-42,33.2,0.269
2260,field_error,13,-5,91.2,0.166
2491,double,334,15,102.8,0.649
2080,single,9,-12,87.9,0.149
2112,field_out,13,-8,91.1,0.169
2495,field_error,13,-7,100.6,0.286
1749,field_out,3,-37,79.6,0.077
1738,field_out,292,35,84.8,0.017
1838,field_out,348,41,104.0,0.274
2047,field_out,288,47,91.8,0.003
1810,field_out,9,-14,81.6,0.103
1923,field_out,382,26,100.2,0.534
2287,field_out,1,-60,,
2457,single,9,-17,95.8,0.154
1903,field_out,5,-11,90.6,0.154
2558,field_out,342,24,92.1,0.16
15,field_out,17,-7,99.7,0.271
24,single,181,10,109.4,0.871
48,field_out,21,-7,85.3,0.12
111,field_out,10,-8,85.3,0.123
177,field_out,75,78,82.0,0.017
211,field_out,30,-1,101.2,0.4
146,field_out,3,-41,97.0,0.094
152,field_out,253,38,75.6,0.114
198,single,186,9,102.9,0.743
274,field_out,304,30,90.0,0.066
280,field_out,3,-40,83.4,0.069
292,field_out,282,46,90.2,0.011
344,field_out,189,59,79.7,0.04
382,home_run,422,27,108.9,0.983
437,field_out,309,43,92.9,0.003
414,force_out,21,-2,87.4,0.203
488,field_out,319,33,88.9,0.023
650,field_out,88,73,63.4,0.006
495,field_out,49,5,53.9,0.129
562,field_out,213,54,84.3,0.023
599,field_out,81,74,74.7,0.006
742,field_out,15,-7,83.4,0.126
1028,field_out,131,66,91.1,0.014
