,events,hit_distance_sc,launch_angle,launch_speed,estimated_ba_using_speedangle
1407,field_out,5,-24,82.6,0.066
1475,field_out,369,26,99.5,0.534
464,field_out,132,64,74.0,0.006
496,single,283,15,104.3,0.62
260,double,5,-28,88.9,0.069
295,field_out,261,27,77.2,0.449
573,single,258,16,111.2,0.711
728,field_out,327,23,92.7,0.177
454,field_out,12,-8,53.9,0.097
508,field_out,5,-23,82.6,0.06
758,field_out,285,25,83.1,0.237
859,field_out,159,65,81.9,0.006
598,field_out,14,-11,68.7,0.054
685,field_out,162,61,72.5,0.02
836,single,125,7,107.3,0.637
1264,home_run,383,30,98.9,0.403
1371,field_out,158,62,74.6,0.02
1027,double_play,286,22,88.2,0.303
1068,single,3,-47,34.8,0.254
1315,single,266,30,75.3,0.451
1354,field_out,3,-38,85.8,0.069
1536,field_out,15,-8,94.9,0.231
1458,field_out,112,9,68.3,0.22
1788,single,311,22,99.4,0.317
1995,field_out,286,44,91.1,0.006
2061,double,279,23,82.8,0.411
2193,field_out,10,-11,89.7,0.171
1664,home_run,344,33,99.5,0.406
1477,field_out,284,41,88.2,0.006
1616,field_out,226,52,86.0,0.02
1969,double,271,25,88.1,0.134
2010,field_out,303,36,90.0,0.026
1377,field_out,49,3,72.0,0.151
1445,single,11,-12,82.5,0.126
1833,field_out,254,42,80.5,0.029
1919,single,204,11,96.8,0.837
2071,field_out,62,5,69.8,0.169
1112,field_out,5,-23,70.5,0.034
1427,field_out,27,-4,89.6,0.189
1839,field_out,145,63,69.4,0.006
11,single,1,-75,63.3,0.206
1415,field_out,36,83,71.4,0.006
59,field_out,212,53,85.3,0.014
95,field_out,23,-5,99.8,0.28
133,field_out,150,63,85.3,0.006
1996,field_out,306,32,83.0,0.034
2088,triple,395,20,102.6,0.509
139,single,144,10,79.5,0.389
183,single,254,18,95.4,0.423
291,single,262,15,94.6,0.817
356,field_out,196,49,72.4,0.16
236,field_out,12,-9,38.3,0.234
265,home_run,383,29,107.1,0.94
289,single,4,-23,89.6,0.097
318,force_out,13,-8,96.9,0.229
343,single,85,3,104.1,0.517
378,field_out,295,43,91.6,0.0
404,home_run,414,37,107.2,0.623
482,single,174,11,95.5,0.786
530,field_out,230,54,94.1,0.006
546,field_out,200,61,98.2,0.017
362,field_out,219,44,73.0,0.217
453,force_out,7,-14,102.5,0.246
498,single,224,21,76.8,0.934
719,field_out,7,-12,79.1,0.097
794,field_out,202,54,77.7,0.069
889,home_run,416,24,106.1,0.891
556,field_out,10,-9,109.4,0.343
742,sac_bunt,14,-5,29.4,0.254
774,single,7,-22,37.9,0.234
792,single,4,-34,91.8,0.1
926,home_run,402,26,107.1,0.963
1231,field_out,304,31,91.6,0.086
1326,field_out,374,30,103.0,0.697
1086,field_out,353,36,97.7,0.211
1151,field_out,130,6,106.4,0.609
1385,field_out,345,22,96.4,0.209
1496,sac_fly_double_play,235,52,91.0,0.017
1667,field_out,85,69,67.8,0.0
2112,double,160,13,80.5,0.614
1497,field_out,7,-14,87.8,0.114
1696,field_out,6,-19,88.8,0.106
1957,field_out,74,75,63.7,0.006
1882,field_out,18,-4,97.9,0.317
2196,field_out,7,-20,85.8,0.091
909,field_out,304,28,85.8,0.086
1193,field_out,357,36,98.9,0.251
1433,single,149,8,91.8,0.571
1698,field_out,136,11,68.7,0.286
1369,field_out,295,17,106.3,0.551
1864,field_out,337,37,97.9,0.171
2067,field_out,354,26,99.4,0.463
38,single,68,3,100.0,0.471
91,home_run,357,34,93.8,0.086
116,field_out,154,65,90.6,0.009
216,single,222,41,70.0,0.426
1292,field_out,178,56,73.6,0.08
1592,single,145,10,89.8,0.629
2015,field_out,20,-6,81.2,0.111
245,field_out,370,40,103.1,0.297
271,field_out,260,35,79.2,0.054
305,field_out,237,50,82.4,0.023
174,field_out,5,-21,103.4,0.189
232,grounded_into_double_play,3,-36,87.9,0.071
238,single,266,13,99.5,0.891
300,single,219,10,114.3,0.817
340,field_out,310,31,85.5,0.049
465,grounded_into_double_play,8,-17,96.0,0.154
518,single,277,15,98.6,0.717
304,field_out,140,8,94.4,0.537
374,field_out,17,-7,97.1,0.251
616,field_out,1,-45,54.3,0.157
673,field_out,11,-8,76.5,0.074
725,double,43,-1,95.4,0.357
814,field_out,252,33,77.5,0.111
499,field_out,27,-4,102.3,0.329
549,home_run,379,30,99.2,0.403
934,field_out,14,-10,76.9,0.094
953,double,277,17,109.0,0.711
996,field_out,59,1,107.0,0.471
1157,field_out,23,-5,93.1,0.217
906,single,9,-14,99.0,0.211
946,field_out,4,-21,77.0,0.031
1250,field_out,3,-21,92.0,0.111
1436,field_out,10,-12,107.4,0.271
1670,field_out,6,-21,92.6,0.109
1796,home_run,419,37,107.0,0.623
1820,single,33,-2,106.1,0.44
1105,field_out,121,8,96.4,0.6
1800,grounded_into_double_play,90,5,87.9,0.4
2173,field_out,12,-8,88.0,0.129
2250,field_out,291,44,96.8,0.02
1961,field_out,8,-14,89.9,0.123
2114,field_out,163,9,89.7,0.554
2304,field_out,334,29,91.8,0.094
1481,field_out,67,4,83.3,0.283
1601,field_out,44,83,50.2,0.006
1716,home_run,373,22,102.0,0.571
2221,field_out,269,51,92.5,0.011
1316,field_out,359,26,97.4,0.331
1484,single,10,-13,96.1,0.174
1841,single,263,18,93.1,0.503
2011,field_out,333,35,94.4,0.091
2079,field_out,125,9,97.6,0.666
2251,field_out,227,53,85.8,0.011
0,force_out,98,7,81.5,0.38
22,field_out,7,-25,91.0,0.086
68,home_run,380,28,101.2,0.649
1500,single,94,6,92.9,0.454
1851,field_out,170,58,73.6,0.063
191,single,7,-10,68.0,0.071
263,field_out,180,56,69.8,0.074
2123,field_out,7,-21,74.4,0.049
523,field_out,266,48,88.9,0.006
635,force_out,8,-7,76.7,0.089
674,single,113,7,95.4,0.517
282,field_out,4,-39,80.2,0.086
319,field_out,323,19,105.2,0.549
334,home_run,424,28,105.9,0.909
411,field_out,1,-60,79.4,0.263
474,single,246,23,81.7,0.509
735,field_out,42,85,78.6,0.011
797,field_out,26,-5,97.5,0.274
848,field_out,108,74,88.1,0.003
877,home_run,407,21,108.8,0.889
624,field_out,362,23,102.2,0.651
663,field_out,85,4,94.2,0.426
1055,home_run,397,34,105.4,0.697
1185,home_run,420,27,107.4,0.957
2090,field_out,7,-16,96.6,0.177
2151,field_out,111,5,103.8,0.571
862,field_out,4,-29,95.4,0.109
526,field_out,224,42,72.3,0.311
589,field_out,5,-20,71.8,0.046
666,home_run,379,30,101.4,0.566
938,double,354,20,99.6,0.383
1002,single,165,11,93.5,0.783
1106,single,143,9,83.5,0.463
1220,double,62,2,79.3,0.189
1304,single,266,13,105.1,0.783
1110,field_out,259,31,76.0,0.314
1161,force_out,4,-29,104.3,0.117
1378,single,1,-57,57.2,0.22
1517,single,245,21,82.5,0.726
1663,single,253,24,82.8,0.314
1630,field_out,233,40,70.2,0.471
1652,single,108,6,100.4,0.651
2001,field_out,336,29,93.4,0.114
2189,field_out,363,27,99.4,0.483
1899,field_out,165,63,80.3,0.009
2187,field_out,370,21,103.9,0.634
2016,field_out,249,55,94.5,0.009
979,single,20,-7,95.3,0.226
1386,field_out,76,3,99.9,0.471
1448,double,319,19,104.7,0.549
1522,single,209,11,101.3,0.886
1827,single,230,14,96.6,0.9
1963,field_out,263,27,75.8,0.537
1681,home_run,408,29,103.3,0.717
2223,field_out,338,29,91.4,0.097
1247,field_out,19,-6,92.8,0.217
2002,single,158,9,104.1,0.754
940,field_out,333,19,99.0,0.366
1062,double,401,30,102.9,0.697
1400,field_out,1,-72,58.0,0.214
1692,field_out,174,66,91.6,0.017
1751,field_out,276,49,91.9,0.009
2267,field_out,5,-25,85.9,0.066
1504,field_out,10,-10,81.6,0.117
1596,field_out,2,-26,82.8,0.043
1786,home_run,391,35,103.0,0.554
1964,single,191,53,73.9,0.109
65,single,228,20,76.2,0.96
155,field_out,1,-51,58.1,0.214
195,field_out,366,33,97.2,0.197
201,double,368,23,103.0,0.706
695,double_play,276,15,92.4,0.914
807,fielders_choice,32,-1,73.3,0.097
831,single,172,12,90.3,0.82
883,field_out,42,-1,95.6,0.346
223,field_out,58,0,116.9,0.54
350,field_out,278,21,86.7,0.434
994,field_out,269,22,85.1,0.42
1190,home_run,377,25,98.5,0.477
437,field_out,181,50,63.5,0.134
488,double,286,28,85.1,0.089
543,field_out,281,30,79.3,0.149
618,double,255,22,83.5,0.471
